emp_no,title,first_name,last_name,birth_date,from_date,to_date
22926,Senior Engineer,Manibrata,Genther,1965-01-01,1988-01-15,9999-01-01
23396,Technique Leader,Hilari,Fairtlough,1965-01-02,1986-12-15,9999-01-01
24080,Technique Leader,Jaana,Perez,1965-01-26,1996-03-11,9999-01-01
24205,Senior Engineer,Roddy,Rubsam,1965-01-25,1993-09-19,9999-01-01
24377,Senior Engineer,Lubomir,Wroclawski,1965-01-25,1993-07-25,9999-01-01
24394,Staff,Zhonghui,Conta,1965-01-04,1994-09-10,9999-01-01
24553,Senior Staff,Anwar,Passafiume,1965-01-12,1987-01-30,9999-01-01
24571,Senior Engineer,Cordelia,Gischer,1965-01-20,1989-03-14,9999-01-01
25488,Senior Staff,Ingmar,Basawa,1965-01-19,1991-11-09,9999-01-01
26629,Senior Staff,Nevin,Rodham,1965-01-28,1998-12-14,9999-01-01
26671,Senior Engineer,Jiakeng,Kalorkoti,1965-01-21,1994-12-25,9999-01-01
26788,Senior Engineer,Zongyan,Dalphin,1965-01-25,1988-04-23,9999-01-01
27331,Senior Staff,Wanqing,Krohm,1965-01-19,1991-01-22,9999-01-01
27378,Senior Staff,Piyawadee,Leppanen,1965-01-28,1999-02-25,9999-01-01
27620,Senior Engineer,Shuji,Kandlur,1965-01-25,1990-03-02,9999-01-01
27686,Senior Staff,Manu,Rosiles,1965-01-28,1998-03-03,9999-01-01
27699,Engineer,Falguni,Pezzoli,1965-01-15,1996-12-23,9999-01-01
27767,Senior Staff,Tooru,Veldwijk,1965-01-27,1993-11-21,9999-01-01
28193,Senior Engineer,Xinglin,Mitsuhashi,1965-01-29,1988-12-14,9999-01-01
28974,Senior Engineer,Chenxi,Sundgren,1965-01-09,1986-09-02,9999-01-01
28988,Technique Leader,Tua,Giveon,1965-01-18,1998-09-09,9999-01-01
29130,Staff,Xumin,Thorensen,1965-01-06,1998-04-26,9999-01-01
29265,Senior Staff,Gilbert,Calkin,1965-01-14,1988-03-21,9999-01-01
29380,Assistant Engineer,Satoru,Vidal,1965-01-30,1998-05-02,9999-01-01
29418,Assistant Engineer,Valery,Mersereau,1965-01-22,1998-07-01,9999-01-01
29679,Senior Engineer,Kolar,Steenbeek,1965-01-17,1986-10-18,9999-01-01
29782,Senior Engineer,Jouko,Hellwagner,1965-01-29,1994-12-21,2000-10-23
29782,Senior Engineer,Jouko,Hellwagner,1965-01-29,2000-10-23,9999-01-01
29954,Senior Engineer,Pranay,Giarratana,1965-01-27,1992-09-29,9999-01-01
30007,Senior Engineer,Kousuke,Vecchio,1965-01-24,1990-02-23,9999-01-01
30035,Senior Staff,Tetsushi,Conta,1965-01-08,1995-07-04,9999-01-01
30154,Technique Leader,Mayuko,Skafidas,1965-01-26,1999-04-19,9999-01-01
30182,Senior Engineer,Leon,Potthoff,1965-01-26,1985-12-08,9999-01-01
30465,Senior Engineer,Randi,Avouris,1965-01-28,1986-07-16,9999-01-01
30484,Staff,Sailaja,Chvatal,1965-01-11,1999-05-18,9999-01-01
30695,Senior Engineer,Gudjon,Majewski,1965-01-08,1999-10-26,9999-01-01
30938,Senior Staff,Yakkov,Samarati,1965-01-06,1995-05-23,1997-10-10
30938,Senior Staff,Yakkov,Samarati,1965-01-06,1997-10-10,9999-01-01
31147,Senior Staff,Divine,Sidhu,1965-01-04,1989-07-05,9999-01-01
31188,Technique Leader,Leandro,Gist,1965-01-12,1993-02-03,9999-01-01
31207,Senior Engineer,Abdelwaheb,Dulin,1965-01-30,1993-08-05,9999-01-01
31341,Senior Staff,Oksana,Zultner,1965-01-01,1991-03-23,9999-01-01
31514,Senior Engineer,Harngdar,Schapire,1965-01-13,1996-11-09,9999-01-01
31568,Staff,Mark,Lalonde,1965-01-10,1996-11-24,9999-01-01
31909,Engineer,Murthy,Peek,1965-01-10,1994-07-19,2000-10-30
31909,Engineer,Murthy,Peek,1965-01-10,2000-10-30,9999-01-01
32347,Senior Staff,Terresa,Peres,1965-01-08,1990-09-15,9999-01-01
32552,Engineer,Atreye,Stanger,1965-01-17,1993-09-10,9999-01-01
32649,Senior Staff,Ingmar,Nannarelli,1965-01-12,1988-06-10,9999-01-01
32714,Staff,Radoslaw,Maliniak,1965-01-16,1997-11-17,2001-09-18
32714,Staff,Radoslaw,Maliniak,1965-01-16,2001-09-18,9999-01-01
32844,Engineer,Tadahiko,Melton,1965-01-23,1995-01-07,9999-01-01
33025,Senior Staff,Jessie,Thorelli,1965-01-12,1999-12-16,9999-01-01
33215,Technique Leader,Steen,Fasbender,1965-01-29,1993-02-14,9999-01-01
33722,Senior Engineer,Anwar,Collette,1965-01-15,1994-03-22,2001-02-03
33722,Senior Engineer,Anwar,Collette,1965-01-15,2001-02-03,9999-01-01
34077,Senior Staff,Angel,Sichman,1965-01-08,1988-11-16,9999-01-01
34261,Senior Staff,Kyoichi,Callaway,1965-01-05,1990-12-30,9999-01-01
34446,Senior Engineer,Chinhyun,Bauknecht,1965-01-31,1986-12-19,9999-01-01
34452,Senior Engineer,Naftaly,Foong,1965-01-08,1991-05-10,9999-01-01
34505,Senior Staff,Felicidad,Kumaresan,1965-01-28,1994-09-06,9999-01-01
34533,Senior Engineer,Erzsebet,Shigei,1965-01-10,1991-01-21,1995-01-16
34533,Senior Engineer,Erzsebet,Shigei,1965-01-10,1995-01-16,9999-01-01
34780,Staff,Moni,Kohling,1965-01-16,1994-07-21,2001-09-18
34780,Staff,Moni,Kohling,1965-01-16,2001-09-18,9999-01-01
34788,Senior Engineer,Ennio,Babu,1965-01-27,1994-08-31,9999-01-01
34936,Technique Leader,Bokyung,Stamatiou,1965-01-12,1991-02-12,9999-01-01
35044,Senior Engineer,Jiang,Waschkowski,1965-01-04,1989-05-27,9999-01-01
35087,Senior Staff,Leif,Ashish,1965-01-17,1994-10-14,9999-01-01
35441,Senior Engineer,Chandrasekaran,Peek,1965-01-31,1988-02-07,1990-09-17
35441,Senior Engineer,Chandrasekaran,Peek,1965-01-31,1990-09-17,9999-01-01
35642,Senior Engineer,Ashish,Talmon,1965-01-30,1995-06-13,1999-02-28
35642,Senior Engineer,Ashish,Talmon,1965-01-30,1999-02-28,9999-01-01
35793,Senior Staff,Oscar,Kusalik,1965-01-01,1991-05-11,9999-01-01
35798,Senior Engineer,Ulf,Oberman,1965-01-29,1997-03-15,9999-01-01
36521,Senior Staff,Serif,Gladwell,1965-01-21,1987-03-06,9999-01-01
36626,Senior Staff,Fen,Genin,1965-01-02,1986-05-09,9999-01-01
36733,Staff,Uma,Reinhard,1965-01-04,1997-11-01,9999-01-01
36844,Staff,Hailing,Levergood,1965-01-01,2000-01-12,9999-01-01
36982,Senior Engineer,Kotesh,Rajala,1965-01-22,1992-06-23,9999-01-01
37070,Senior Staff,Jeong,Undy,1965-01-22,1985-02-13,9999-01-01
37945,Senior Engineer,Suzette,Butterworth,1965-01-02,1994-02-19,9999-01-01
38043,Senior Engineer,Michaela,Randi,1965-01-05,1985-11-23,9999-01-01
38103,Senior Engineer,Masasuke,Babu,1965-01-12,1988-03-31,9999-01-01
38168,Senior Staff,Fumiko,Deverell,1965-01-14,1987-08-15,9999-01-01
38550,Senior Engineer,JoAnne,Baez,1965-01-14,1987-02-16,9999-01-01
38593,Senior Engineer,Huei,Orsini,1965-01-14,1986-06-04,9999-01-01
38947,Senior Staff,Shuichi,Ruemmler,1965-01-25,1991-03-08,1998-04-08
38947,Senior Staff,Shuichi,Ruemmler,1965-01-25,1998-04-08,9999-01-01
39000,Senior Staff,Martijn,Vendrig,1965-01-08,1997-03-03,9999-01-01
39036,Staff,Changho,Cappelli,1965-01-08,1996-05-04,9999-01-01
39301,Senior Staff,Rimon,Kawashima,1965-01-07,1992-02-06,9999-01-01
39341,Senior Engineer,Mahmut,Lampe,1965-01-01,1985-05-11,9999-01-01
39952,Staff,Otmar,Sudbeck,1965-01-02,1998-07-22,9999-01-01
40269,Senior Staff,Toshiki,Ghazalie,1965-01-10,1991-12-05,9999-01-01
40283,Senior Engineer,Sudhanshu,Boissier,1965-01-07,1985-05-11,9999-01-01
40301,Senior Engineer,Spyrose,Felder,1965-01-20,1996-06-16,1997-10-20
40301,Senior Engineer,Spyrose,Felder,1965-01-20,1997-10-20,9999-01-01
40536,Senior Engineer,Harngdar,Bernardinello,1965-01-20,1988-02-29,9999-01-01
40765,Senior Staff,Michaela,Ramsak,1965-01-01,1992-12-21,9999-01-01
40773,Senior Staff,Shimshon,Aingworth,1965-01-09,1986-04-13,9999-01-01
40983,Technique Leader,Marla,Cherinka,1965-01-17,1986-12-01,9999-01-01
41114,Technique Leader,Petter,Thummel,1965-01-25,1995-12-24,9999-01-01
41137,Senior Staff,Bikash,Buchter,1965-01-20,1987-11-23,1996-01-08
41137,Senior Staff,Bikash,Buchter,1965-01-20,1996-01-08,9999-01-01
41357,Engineer,Willard,Vernadat,1965-01-06,1997-03-04,9999-01-01
41518,Senior Engineer,Keung,Schapiro,1965-01-11,1998-04-19,2001-02-08
41518,Senior Engineer,Keung,Schapiro,1965-01-11,2001-02-08,9999-01-01
41520,Senior Engineer,Xiong,Uhrik,1965-01-20,1988-03-21,9999-01-01
41609,Senior Staff,Yucai,Simmen,1965-01-04,1987-10-13,9999-01-01
42778,Senior Staff,Shuji,Remmers,1965-01-19,1987-12-18,9999-01-01
42911,Senior Engineer,Brigham,Eterovic,1965-01-29,1994-10-08,9999-01-01
42950,Senior Staff,Shaleah,Eickenmeyer,1965-01-22,1993-10-09,9999-01-01
42955,Engineer,Yucel,Lortz,1965-01-12,1995-02-21,9999-01-01
43154,Senior Staff,Maha,Waterhouse,1965-01-13,1997-07-04,9999-01-01
43733,Senior Staff,Huei,Boguraev,1965-01-26,1993-12-31,9999-01-01
43848,Engineer,Phillip,Oxenboll,1965-01-11,1999-05-26,9999-01-01
44054,Engineer,Alenka,Ritcey,1965-01-18,1997-02-09,9999-01-01
44265,Engineer,Maria,Eppinger,1965-01-24,1997-01-30,9999-01-01
44540,Senior Engineer,Mingzeng,Sadowski,1965-01-16,1989-11-12,9999-01-01
44900,Senior Staff,Mark,Schwaller,1965-01-05,1994-08-10,9999-01-01
44959,Senior Engineer,Volkmar,Uhrik,1965-01-21,1988-01-16,9999-01-01
44962,Assistant Engineer,Sariel,Wynblatt,1965-01-16,1996-05-18,9999-01-01
45162,Senior Engineer,Dulce,Speel,1965-01-11,1987-10-19,9999-01-01
46000,Senior Staff,Zhaofang,Penn,1965-01-26,1997-07-24,9999-01-01
46328,Senior Staff,Wuxu,Trogemann,1965-01-05,1997-01-27,9999-01-01
46811,Senior Engineer,Junsik,Berendt,1965-01-10,1988-04-27,9999-01-01
46834,Senior Staff,Tooru,Daescu,1965-01-22,1998-03-20,9999-01-01
46943,Senior Engineer,Pasqua,Maraist,1965-01-31,1993-12-06,9999-01-01
47016,Senior Staff,Toong,Litecky,1965-01-03,1989-03-01,9999-01-01
47139,Engineer,Marco,Usdin,1965-01-25,1996-10-29,9999-01-01
47262,Senior Engineer,Gonzalo,Binkley,1965-01-10,1985-08-16,9999-01-01
47515,Senior Engineer,Naraig,Jenevein,1965-01-26,1987-01-18,9999-01-01
47702,Senior Staff,Juyoung,Vieri,1965-01-21,1991-08-12,9999-01-01
47708,Senior Staff,Edwin,Haldar,1965-01-05,1995-07-12,9999-01-01
48275,Senior Staff,Sariel,Massonet,1965-01-29,1987-11-20,9999-01-01
48690,Staff,Hitomi,Schaap,1965-01-12,1999-09-27,9999-01-01
48882,Senior Engineer,Leen,Lamparter,1965-01-28,1993-06-07,9999-01-01
48904,Senior Staff,Yuichiro,Malabarba,1965-01-23,1994-03-07,9999-01-01
48947,Senior Staff,Filipp,Akaboshi,1965-01-05,1992-05-20,9999-01-01
49010,Senior Staff,Kazuhisa,Benantar,1965-01-16,1989-10-23,1990-03-30
49010,Senior Staff,Kazuhisa,Benantar,1965-01-16,1990-03-30,9999-01-01
49017,Senior Engineer,Filipp,Flanders,1965-01-07,1990-11-26,9999-01-01
49119,Senior Engineer,Lena,Peek,1965-01-09,1991-05-16,9999-01-01
49177,Engineer,Tze,Bach,1965-01-03,1999-03-09,9999-01-01
49464,Staff,Siddarth,Cappelletti,1965-01-14,1999-09-10,9999-01-01
49477,Senior Staff,Baocai,Leaver,1965-01-14,1998-08-05,9999-01-01
50293,Engineer,Xinan,Rindone,1965-01-26,1996-10-08,9999-01-01
50311,Senior Engineer,Mooi,Stafford,1965-01-24,1996-10-06,9999-01-01
50453,Staff,Aron,Harbusch,1965-01-12,1997-10-02,9999-01-01
50670,Senior Staff,Boguslaw,Snedden,1965-01-30,1985-02-20,9999-01-01
50831,Senior Engineer,Marie,Khalid,1965-01-06,1990-10-27,1996-06-11
50831,Senior Engineer,Marie,Khalid,1965-01-06,1996-06-11,9999-01-01
51036,Staff,Chriss,Fasbender,1965-01-29,1995-05-23,9999-01-01
51057,Senior Staff,Theirry,Albarhamtoshy,1965-01-29,1991-09-27,9999-01-01
51060,Senior Engineer,Youngkon,Rohrbach,1965-01-15,1989-10-20,9999-01-01
51142,Senior Engineer,Rosine,Lakshmanan,1965-01-29,1986-01-31,9999-01-01
52038,Senior Engineer,Chikako,Armand,1965-01-13,1985-05-18,9999-01-01
52040,Senior Staff,Phule,Heijenga,1965-01-14,1992-02-22,1996-12-08
52040,Senior Staff,Phule,Heijenga,1965-01-14,1996-12-08,9999-01-01
52283,Senior Staff,Trygve,Krupka,1965-01-20,1994-03-11,9999-01-01
52386,Senior Staff,Adas,Denti,1965-01-28,1986-05-30,9999-01-01
52590,Senior Staff,Jouni,Munoz,1965-01-21,1995-11-26,1996-10-07
52590,Senior Staff,Jouni,Munoz,1965-01-21,1996-10-07,9999-01-01
52599,Senior Engineer,Augustine,Mungall,1965-01-25,1987-08-31,1994-01-13
52599,Senior Engineer,Augustine,Mungall,1965-01-25,1994-01-13,9999-01-01
52639,Senior Staff,Arup,Colorni,1965-01-09,1996-02-05,9999-01-01
52770,Senior Staff,Shugo,Yurek,1965-01-31,1992-08-28,9999-01-01
52778,Technique Leader,Alain,Penn,1965-01-15,1986-05-03,9999-01-01
52956,Senior Engineer,Khalil,Picci,1965-01-31,1987-03-21,1998-11-24
52956,Senior Engineer,Khalil,Picci,1965-01-31,1998-11-24,9999-01-01
52970,Senior Engineer,Lobel,Werthner,1965-01-22,1988-03-17,9999-01-01
53278,Senior Staff,Premsyl,Lortz,1965-01-31,1993-02-01,9999-01-01
53314,Staff,Eberhardt,Carrera,1965-01-06,1999-02-23,9999-01-01
53431,Senior Staff,Sham,Vasanthakumar,1965-01-12,1985-10-24,1993-05-24
53431,Senior Staff,Sham,Vasanthakumar,1965-01-12,1993-05-24,9999-01-01
53499,Senior Engineer,Zdislav,Mandelberg,1965-01-20,1994-09-11,9999-01-01
53597,Senior Engineer,Jiafu,Marchegay,1965-01-30,1985-03-02,9999-01-01
53874,Senior Staff,Bodo,Schade,1965-01-23,1986-02-14,9999-01-01
53924,Senior Engineer,Arnould,Gaughan,1965-01-27,1991-01-23,9999-01-01
54198,Senior Engineer,Shaowen,Segond,1965-01-01,1986-01-06,9999-01-01
54632,Senior Staff,Etsuo,Serot,1965-01-19,1989-06-14,9999-01-01
54795,Senior Staff,Sumant,Nergos,1965-01-29,1993-05-07,1994-03-02
54795,Senior Staff,Sumant,Nergos,1965-01-29,1994-03-02,9999-01-01
54800,Staff,Breannda,Cangellaris,1965-01-13,2000-01-27,9999-01-01
55640,Senior Engineer,Adit,Syrotiuk,1965-01-25,1993-07-16,9999-01-01
55687,Senior Engineer,Shih,Lindqvist,1965-01-02,1995-03-29,9999-01-01
55799,Senior Engineer,Jianwen,Litzler,1965-01-23,1987-06-17,9999-01-01
55857,Senior Staff,Adin,Scallan,1965-01-18,1987-09-15,9999-01-01
56105,Senior Engineer,Makato,Remmers,1965-01-11,1989-04-16,9999-01-01
56209,Senior Engineer,Remzi,Douceur,1965-01-19,1992-12-01,9999-01-01
56415,Senior Staff,Sigeru,Nivat,1965-01-30,1991-10-24,9999-01-01
56428,Senior Staff,Olivera,Hanabata,1965-01-27,1986-11-10,9999-01-01
56682,Assistant Engineer,Roded,Picco,1965-01-28,1993-11-06,9999-01-01
56829,Engineer,Nagui,Gruenwald,1965-01-09,1995-12-24,1997-06-14
56829,Engineer,Nagui,Gruenwald,1965-01-09,1997-06-14,9999-01-01
56847,Senior Engineer,Menkae,Chinin,1965-01-14,1989-08-19,1998-08-27
56847,Senior Engineer,Menkae,Chinin,1965-01-14,1998-08-27,9999-01-01
57934,Senior Engineer,Sanjoy,Boudaillier,1965-01-25,1989-12-27,9999-01-01
58141,Staff,Bezalel,Karner,1965-01-05,1994-09-27,9999-01-01
58147,Senior Staff,Shigenori,Sullins,1965-01-09,1988-02-24,9999-01-01
58384,Senior Engineer,Mariusz,Vural,1965-01-22,1993-11-14,9999-01-01
58454,Engineer,Ziya,Zambonelli,1965-01-25,1999-06-29,9999-01-01
58497,Senior Staff,Yechiam,Cairo,1965-01-22,1996-07-12,2000-10-21
58497,Senior Staff,Yechiam,Cairo,1965-01-22,2000-10-21,9999-01-01
58819,Senior Staff,Gennady,Liesche,1965-01-04,1987-12-02,9999-01-01
58990,Engineer,Palash,Trelles,1965-01-04,1998-11-18,9999-01-01
59195,Technique Leader,Ronnie,Pollock,1965-01-08,1990-06-19,9999-01-01
59640,Staff,Zita,Hiltgen,1965-01-18,1999-01-26,9999-01-01
59869,Senior Staff,Zsolt,Riefers,1965-02-01,1987-09-25,9999-01-01
59966,Technique Leader,Steen,Salvesen,1965-01-28,1993-02-03,9999-01-01
60000,Engineer,Heekeun,Emmart,1965-01-16,1995-09-23,9999-01-01
60091,Senior Staff,Surveyors,Bade,1965-02-01,1990-04-11,9999-01-01
60238,Staff,Erzsebet,Claffy,1965-01-23,1997-03-03,1999-02-19
60238,Staff,Erzsebet,Claffy,1965-01-23,1999-02-19,9999-01-01
60559,Senior Engineer,Jeanna,Stemann,1965-01-19,1988-08-29,9999-01-01
60821,Senior Staff,Moty,Mersereau,1965-01-02,1991-09-03,9999-01-01
60845,Engineer,Bedir,Siegrist,1965-01-14,1997-05-13,9999-01-01
60875,Senior Engineer,Rildo,Masaki,1965-01-21,1990-01-14,9999-01-01
60959,Senior Staff,Tetsushi,Sridhar,1965-01-09,1989-01-12,1989-10-19
60959,Senior Staff,Tetsushi,Sridhar,1965-01-09,1989-10-19,9999-01-01
61147,Staff,Leszek,Werthner,1965-01-30,1999-03-03,9999-01-01
61253,Senior Engineer,Cheong,Uhrik,1965-01-09,1996-06-04,2002-05-09
61253,Senior Engineer,Cheong,Uhrik,1965-01-09,2002-05-09,9999-01-01
61377,Senior Staff,Dannz,Ohori,1965-01-01,1988-01-18,1997-04-13
61377,Senior Staff,Dannz,Ohori,1965-01-01,1997-04-13,9999-01-01
61541,Senior Engineer,Kasidit,Papsdorf,1965-01-08,1993-08-17,9999-01-01
61873,Engineer,Woody,Rusmann,1965-01-19,1993-02-26,9999-01-01
62033,Senior Engineer,Heeju,Cappelli,1965-01-24,1987-01-15,9999-01-01
62046,Senior Engineer,Karlis,Nanard,1965-01-31,1992-09-19,9999-01-01
62245,Engineer,Adel,Bressoud,1965-01-01,1995-08-30,9999-01-01
63294,Senior Engineer,Tetsushi,Tanemo,1965-01-23,1997-03-01,9999-01-01
63419,Senior Engineer,Hiroyasu,Seuren,1965-01-14,1989-03-05,9999-01-01
63441,Staff,Hinrich,Scallan,1965-01-15,1999-04-04,9999-01-01
63566,Senior Staff,Heekeun,Slaats,1965-01-31,1999-01-12,9999-01-01
63631,Senior Engineer,Falguni,Cherinka,1965-01-22,1986-09-08,1987-10-15
63631,Senior Engineer,Falguni,Cherinka,1965-01-22,1987-10-15,9999-01-01
63706,Engineer,Sedat,Itzigehl,1965-01-26,1997-07-31,9999-01-01
64023,Senior Engineer,Laurentiu,Benzmuller,1965-01-11,1999-11-08,9999-01-01
64209,Senior Staff,Golgen,Schoegge,1965-01-24,1988-02-26,9999-01-01
64487,Senior Engineer,Tsutomu,Rebaine,1965-01-27,1986-09-17,9999-01-01
64532,Senior Engineer,Atilio,Segond,1965-01-23,1990-11-29,9999-01-01
64632,Senior Staff,Zsolt,Brender,1965-01-07,1996-02-21,9999-01-01
64790,Senior Engineer,Shin,Piveteau,1965-01-29,1985-04-19,9999-01-01
64828,Staff,Krister,Pappas,1965-01-27,1999-09-30,9999-01-01
64984,Senior Engineer,Eldridge,Eldridge,1965-01-06,1986-06-24,1994-08-04
64984,Senior Engineer,Eldridge,Eldridge,1965-01-06,1994-08-04,9999-01-01
65171,Technique Leader,Jeane,Tasistro,1965-01-25,1994-07-06,9999-01-01
65539,Senior Engineer,Aksel,Picaronny,1965-01-23,1991-01-27,9999-01-01
65883,Senior Staff,Patricia,Pepe,1965-01-07,1991-04-19,9999-01-01
65998,Senior Staff,Mandell,Alameldin,1965-01-09,1989-04-08,9999-01-01
66382,Engineer,Domenico,Candan,1965-01-04,1997-07-13,9999-01-01
66530,Staff,Dung,Leaver,1965-01-29,1998-04-04,9999-01-01
66643,Engineer,Jianhao,Tomescu,1965-01-18,1996-08-26,9999-01-01
66702,Senior Engineer,Deniz,Thibadeau,1965-02-01,1994-09-27,9999-01-01
66757,Staff,Yonghong,Baig,1965-01-16,1999-04-10,9999-01-01
66807,Senior Engineer,Aiman,Rosaz,1965-01-21,1990-05-22,9999-01-01
67320,Senior Staff,Sadok,Lorys,1965-01-18,1987-05-10,9999-01-01
67548,Staff,Fumitaka,Roohalamini,1965-01-11,1998-06-27,9999-01-01
67934,Senior Engineer,Aiman,Gargeya,1965-01-07,1985-03-07,9999-01-01
68416,Senior Engineer,Munenori,Debuse,1965-01-27,1990-11-08,9999-01-01
68608,Senior Engineer,Yucai,Seghrouchni,1965-01-26,1989-06-09,9999-01-01
68633,Senior Engineer,Chinhyun,Rassart,1965-01-28,1993-07-29,9999-01-01
68648,Technique Leader,Jaques,DiGiano,1965-01-25,1992-04-01,9999-01-01
69052,Senior Staff,Shietung,Shrader,1965-01-26,1995-08-05,9999-01-01
69219,Senior Staff,Shuky,Redmiles,1965-01-09,1994-07-06,1994-11-19
69219,Senior Staff,Shuky,Redmiles,1965-01-09,1994-11-19,9999-01-01
69867,Senior Staff,Miyeon,Rothe,1965-01-22,1991-04-09,9999-01-01
69878,Engineer,Chinya,Cooke,1965-01-24,1997-01-29,9999-01-01
69936,Assistant Engineer,Lalit,Unni,1965-01-23,1998-12-06,1999-01-31
69936,Assistant Engineer,Lalit,Unni,1965-01-23,1999-01-31,9999-01-01
70469,Senior Staff,Tru,Miyakawa,1965-01-12,1990-09-03,9999-01-01
70990,Senior Engineer,Arumugam,Nitta,1965-01-22,1990-03-23,9999-01-01
71066,Senior Staff,Domenick,Basart,1965-01-27,1996-01-05,9999-01-01
71141,Senior Staff,Sajjad,Vitiello,1965-01-02,1992-02-17,9999-01-01
